"Головин, Михаил Евсеевич",1756,1790
"Госиевский, Владислав",1844,1911
"Гулак, Николай Иванович",1821,1899
"Гурьев, Семён Емельянович",1766,1813
"Запольская, Любовь Николаевна",1871,1943
"Зейлигер, Дмитрий Николаевич",1864,1936
"Зернов, Николай Ефимович",1804,1862
"Зуховицкий, Семён Израилевич",1908,1994
Иван Иванов,1862,1939
"Иде, Иван Андреевич",1744,1806
"Извольский, Николай Александрович",1870,1938
"Ильинский, Алексей Никанорович",1788,1837
"Имшенецкий, Василий Григорьевич",1832,1892
"Карастелев, Корнелий Иванович",1828,1886
"Карастелев, Корнелий Иванович",1829,1886
"Кваша, Гершко Иосифович",1881,1933
"Кириллов, Елпидифор Анемподистович",1883,1964
"Колотов, Степан Митрофанович",1880,1965
"Коренев, Георгий Васильевич",1904,1980
"Костицын, Владимир Александрович",1883,1963
Пётр Иванович Котельников,1809,1879
"Котельников, Семён Кириллович",1723,1806
"Кошляков, Николай Сергеевич",1891,1958
"Краснопёров, Егор Иванович",1842,1897
Селим Григорьевич Крейн,1917,1999
"Кржижановский, Адриан",1788,1852
"Кропоткин, Александр Алексеевич",1841,1886
"Новожилов, Виктор Валентинович",1892,1970
"Панкевич, Михаил Иванович",1757,1812
Дмитрий Матвеевич Перевощиков,1788,1880
"Перелогов, Тимофей Иванович",1765,1841
Лоренц Линделёф,1827,1908
"Петерсон, Карл Михайлович",1828,1881
"Погорельский, Платон Николаевич",1800,1852
"Попов, Александр Фёдорович (математик)",1815,1879
Наталья Попова,1885,1975
"Поссе, Константин Александрович",1847,1928
"Преображенский, Владимир Васильевич",1846,1905
"Пятосин, Иосиф Степанович",1882,1938
"Расулов, Меджид Лятиф оглы",1916,1993
Сергей Александрович Рачинский,1833,1902
"Редер, Александр Христофорович",1809,1872
"Мойшезон, Борис Гершевич",1937,1993
"Кронрод, Александр Семёнович",1921,1986
Борис Павлович Демидович,1906,1977
"Мергелян, Сергей Никитович",1928,2008
"Скрыпник, Игорь Владимирович",1940,2005
"Смирнов, Николай Васильевич",1900,1966
"Солтан, Пётр Семёнович",1931,2016
"Столяр, Абрам Аронович",1919,1993
"Суворов, Георгий Дмитриевич",1919,1984
"Султангазин, Умирзак Махмутович",1936,2005
"Тайманов, Асан Дабсович",1917,1990
"Тамразов, Промарз Меликович",1933,2012
"Танаев, Вячеслав Сергеевич",1940,2002
"Таран, Татьяна Архиповна",1946,2007
"Турчин, Валентин Фёдорович",1931,2010
"Усманов, Гумер Исмагилович",1932,2015
"Франк, Михаил Людвигович",1878,1942
"Халилов, Захид Исмаил оглы",1911,1974
"Худяев, Сергей Иванович",1934,2004
"Четаев, Николай Гурьевич",1902,1959
"Шварцбурд, Семён Исаакович",1918,1996
Леонид Александрович Шеметков,1937,2013
Виктор Шестаков,1907,1987
"Ширшов, Анатолий Илларионович",1921,1981
Илья Андреевич Шишмарёв,1937,2012
"Штокман, Владимир Борисович",1909,1968
"Энеев, Тимур Магометович",1924,2019
"Эфендиев, Мамед Рашид оглы",1887,1977
"Ядренко, Михаил Иосифович",1932,2004
"Якубович, Владимир",1926,2012
"Яненко, Николай Николаевич",1921,1984
Альберт Мучник,1934,2019
"Муштари, Хамид Музафарович",1900,1981
"Давидов, Август Юльевич",1823,1885
"Ершов, Андрей Петрович",1931,1988
"Кольман, Эрнест Яромирович",1892,1979
"Широков, Юрий Михайлович",1925,1980
Павел Петрович Коровкин,1913,1985
"Петров, Алексей Зиновьевич",1910,1972
