Paul Olum,1918,2001
Paul Sally,1933,2013
Percival Hall,1872,1953
Peter Stoner,1888,1980
Philip Franklin,1898,1965
Philip Rabinowitz,1926,2006
Pliny Chase,1820,1886
R. Catesby Taliaferro,1907,1989
R. Michael Canjar,1953,2012
Ralph Palmer Agnew,1900,1986
Raymond Woodard Brink,1890,1973
Reese Prosser,1927,1996
Richard Allen Hunt,1937,2009
Richard Arenstorf,1929,2014
Richard Cockburn Maclaurin,1870,1920
Richard Davis Anderson,1922,2008
Richard Lashof,1922,2010
Richard Laver,1942,2012
Richard Pollack,1935,2018
Richard Schelp,1936,2010
Richard V. Andree,1919,1987
Robert Ammann,1946,1994
Robert Breusch,1907,1995
Robert Detweiler,1930,2003
Robert G. Bartle,1927,2003
Robert Horton Cameron,1908,1989
Robert James Blattner,1931,2015
Robert Kupperman,1935,2006
Robert Patterson,1743,1824
Lajos Takács,1924,2015
Robert Phelps,1926,2013
Lawrence Shepp,1936,2013
Ledyard Tucker,1910,2004
Lee Albert Rubel,1928,1995
Lee Lorch,1915,2014
Lee Segel,1932,2005
Leo Katz,1914,1976
Leonard E. Baum,1931,2017
Leonard Gillman,1917,2009
Leroy F. Meyers,1927,1995
Leroy Milton Kelly,1914,2002
Lester Dubins,1920,2010
Lester S. Hill,1891,1961
Lillian Rosanoff Lieber,1886,1986
Louis Israel Dublin,1882,1969
Louis Leithold,1924,2005
Lowell Schoenfeld,1920,2002
"M. K. Fort, Jr.",1921,1964
Marc Thomas,1950,2017
Marcia P. Sward,1939,2008
James Mark McGinnis Barr,1871,1950
Mary P. Dolciani,1923,1985
Melvin Dresher,1911,1992
Merrill M. Flood,1908,1991
Meyer Jerison,1922,1995
Michael Golomb,1909,2008
Michael Sean Mahoney,1939,2008
Mollie Orshansky,1915,2006
Zeev Nehari,1915,1978
Cyrus Colton MacDuffee,1895,1961
William Karush,1917,1997
Donald Burkholder,1927,2013
Robert M. Patterson,1787,1854
Valentin Turchin,1931,2010
Mary L. Boas,1917,2010
A.V. Balakrishnan,1922,2015
A. Edward Nussbaum,1925,2009
"A. Ross Eckler, Jr.",1927,2016
A. Wayne Wymore,1927,2011
Abdulalim Abdullah Shabazz,1927,2014
Abraham Nemeth,1918,2013
Acheson J. Duncan,1904,1995
Albert Baldwin Dod,1805,1845
Albert Taylor Bledsoe,1809,1877
