"Борухов, Валентин Терентьевич",0,1,0,0,1947,2013,8472,7,12,0,504,0,2,1,27,0,,,,,,,61,217,5,Борухов Валентин Терентьевич,12,6,844,,,,
"Бочкарёв, Сергей Викторович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Браверман, Эммануил Маркович",1,4,0,0,1931,2014,8147,7,23,0,798,0,2,3,26,0,,,,,,,,,,Браверман Э М,10,4,310,,,,
"Брадис, Владимир Модестович",0,2,0,1,1890,2006,7304,59,92,1,13829,0,8,13,25,2,,,,,,,,,,,,,,,,,
"Браиловский, Виктор Львович",0,0,0,0,1935,2008,4499,33,68,4,1521,0,5,25,16,2,,,,,,,,,,,,,,,,,
"Брайцев, Иван Романович",0,1,0,0,1870,2008,6012,19,31,1,374,0,2,8,10,1,,,,,,,,,,Брайцев Иван Романович ,10,,730,,,,
"Брашман, Николай Дмитриевич",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Брегман, Лев",1,1,0,0,1941,2014,3547,4,11,1,420,0,1,1,9,2,,,,,,,,,,,,,,,,,
"Брин, Михаил Израилевич",1,2,0,0,1948,2014,9807,6,39,1,12846,0,3,2,22,0,,,,,,,,,,Брин Михаэль И,7,53,1361,,,,
"Бронштейн, Идел Ушерович",2,3,0,0,1936,2008,9024,10,52,0,509,0,4,7,47,0,,,,,,,,,,Бронштейн Идел Ушерович,15,8,845,,,,
"Брудно, Александр Львович",1,3,0,0,1918,2012,21670,22,80,1,1118,0,2,10,46,1,,,,,,,,,,Брудно Александр Львович,9,3,1660,,,,
"Брюно, Александр Дмитриевич",2,6,0,0,1940,2014,4177,4,10,2,441,0,2,1,9,4,,,,,,,311,2612,15,Брюно Александр Дмитриевич,133,322,10080,,,,
"Бубнов, Иван Григорьевич",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бугаев, Николай Васильевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бугров, Яков Степанович",0,2,0,0,1927,2007,5836,17,47,0,692,0,6,4,30,2,,,,,,,,,,Бугров Яков Степанович,23,45,2276,,,,
"Будаев, Николай Сергеевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Булинский, Александр Вадимович",1,5,0,0,1952,2012,6896,10,41,0,1020,0,2,2,5,4,,,,,,,42,434,9,Булинский Александр Вадимович,22,60,2929,,,,
"Букреев, Борис Яковлевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Бунимович, Леонид Абрамович",1,4,0,0,1943,2014,3899,5,10,4,933,0,9,4,17,1,,,,,,,,,,Бунимович Леонид Абрамович,12,276,5600,,,,
"Буницкий, Евгений Леонидович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Буняковский, Виктор Яковлевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
