 Алескеров, Фуад Тагиевич: 1.618
 Ворович, Иосиф: 1.616
 Савватеев, Алексей Владимирович: 1.609
 Степанец, Александр Иванович: 1.608
 Рипс, Илья Аронович: 1.602
 Нечаев, Василий Ильич: 1.599
 Павловский, Юрий Николаевич: 1.599
 Чушкин, Павел Иванович: 1.599
 Абрашкин, Виктор Александрович: 1.599
 Лаврик, Александр Фёдорович: 1.599
 Кошляков, Николай Сергеевич: 1.597
 Логунов, Александр Андреевич: 1.597
 Крейн, Селим Григорьевич: 1.586
 Котельников, Александр Петрович: 1.582
 Зелевинский, Андрей: 1.578
 Костомаров, Дмитрий Павлович: 1.578
 Добрушин, Роланд Львович: 1.574
 Ибрагимов, Ильдар Абдуллович: 1.572
 Яглом, Акива Моисеевич: 1.57
 Бочкарёв, Сергей Викторович: 1.568
 Вентцель, Елена Сергеевна: 1.564
 Флоренский, Павел Александрович: 1.56
 Коваленко, Игорь Николаевич: 1.559
 Шеметков, Леонид Александрович: 1.559
 Линдеберг, Ярл Вальдемар: 1.555
 Селиванов, Дмитрий Фёдорович: 1.555
 Слуцкий, Евгений Евгеньевич: 1.553
 Боровков, Александр Алексеевич: 1.553
 Банахевич, Тадеуш: 1.552
 Михайлов, Роман Валерьевич: 1.55
 Джумадильдаев, Аскар Серкулович: 1.548
 Ващенко-Захарченко, Михаил Егорович: 1.547
 Меньшов, Дмитрий Евгеньевич: 1.542
 Урысон, Павел Самуилович: 1.539
 Эйхенбаум, Яков Моисеевич: 1.538
 Азбелев, Николай Викторович: 1.536
 Монахов, Валентин Николаевич: 1.536
 Когбетлянц, Ерванд Геворгович: 1.536
 Петрик, Александр: 1.529
 Михалевич, Владимир Сергеевич: 1.528
 Фомин, Сергей Васильевич: 1.526
 Мельников, Иван Иванович: 1.525
 Шрейдер, Юлий Анатольевич: 1.525
 Базылев, Вячеслав Тимофеевич: 1.519
 Болибрух, Андрей Андреевич: 1.517
 Гокиели, Леван Петрович: 1.517
 Никишин, Евгений Михайлович: 1.517
 Q61043859: 1.51
 Платонов, Михаил Леонидович: 1.51
 Тамаркин, Яков Давидович: 1.509
 Пискунов, Николай Семёнович: 1.508
 Суслин, Михаил Яковлевич: 1.504
 Хачиян, Леонид Генрихович: 1.504
 Конягин, Сергей Владимирович: 1.504
 Щепкин, Павел Степанович: 1.5
 Варченко, Александр Николаевич: 1.498
 Мазалов, Владимир Викторович: 1.498
 Панин, Иван Александрович: 1.498
 Песин, Яков Борисович: 1.498
 Богданов, Рифкат Ибрагимович: 1.497
 Яблонский, Сергей Всеволодович: 1.496
 Бесов, Олег Владимирович: 1.495
 Брудно, Александр Львович: 1.489
 Шапиро, Зоря Яковлевна: 1.489
 Герман, Якоб: 1.482
 Выгодский, Марк Яковлевич: 1.479
 Глейзер, Григорий Давыдович: 1.479
 Извольский, Николай Александрович: 1.479
 Новиков, Дмитрий Александрович: 1.479
 Соловьёв, Александр Дмитриевич: 1.479
 Бобков, Сергей Германович: 1.479
 Акилов, Глеб Павлович: 1.479
 Светов, Борис Сергеевич: 1.479
 Мелентьев, Павел Владимирович: 1.479
 Карапетян, Гарник: 1.478
 Иванов, Сергей Владимирович (математик): 1.477
 Сазонов, Вячеслав Васильевич: 1.476
 Уральцева, Нина: 1.475
 Комраков, Борис Петрович: 1.473
 Харлампович, Ольга Георгиевна: 1.473
 Букреев, Борис Яковлевич: 1.472
 Ландис, Евгений Михайлович: 1.47
 Шварцбурд, Семён Исаакович: 1.47
 Пархоменко, Алексей Серапионович: 1.47
 Дужин, Сергей Васильевич: 1.47
 Авдеев, Николай Яковлевич: 1.468
 Афанасьев, Владимир: 1.468
 Султангазин, Умирзак Махмутович: 1.468
 Гольдберг, Анатолий Асирович: 1.468
 Айвазян, Сергей Арутюнович: 1.468
 Тураев, Владимир Георгиевич: 1.467
 Медведев, Павел Алексеевич: 1.459
 Амербаев, Вильжан Мавлютинович: 1.449
 Верещагин, Иван Фёдорович: 1.449
 Шишмарев, Юрий Евгеньевич: 1.449
 Краснопрошин, Виктор Владимирович: 1.449
 Галушкин, Александр Иванович: 1.449
 Решетняк, Юрий Григорьевич: 1.447
 Дымников, Валентин: 1.439
 Петров, Алексей Зиновьевич: 1.434
 Гюнтер, Николай Максимович: 1.434
 Рапопорт, Анатолий Борисович: 1.433
 Некрасов, Александр Иванович: 1.432
 Линделёф, Эрнст Леонард: 1.43
 Архипов, Геннадий Иванович: 1.428
 Житомирская, Светлана Яковлевна: 1.423
 Рышков, Сергей Сергеевич: 1.418
 Хованов, Михаил: 1.408
 Шура-Бура, Михаил Романович: 1.408
 Смелянский, Руслан Леонидович: 1.408
 Пинскер, Марк: 1.402
 Крыштановский, Александр Олегович: 1.399
 Шноль, Эммануил Эльевич: 1.399
 Мисюркеев, Иван Васильевич: 1.399
 Цыганков, Иван Власович: 1.399
 Арефьева, Ирина Ярославна: 1.399
 Трофимов, Пётр Иванович: 1.399
 Пионтковский, Андрей: 1.396
 Вагнер, Виктор Владимирович: 1.394
 Таран, Татьяна Архиповна: 1.388
 Андреев, Константин Алексеевич: 1.386
 Фет, Абрам Ильич: 1.385
 Сохоцкий, Юлиан Васильевич: 1.376
 Абросимов, Александр Викторович: 1.366
 Муртазин, Хайрулла Хабибуллович: 1.366
 Шпильрейн, Ян Николаевич: 1.366
 Фесенко, Иван: 1.358
 Пятосин, Иосиф Степанович: 1.358
 Дьяченко, Вадим Евгеньевич: 1.358
 Кольман, Эрнест Яромирович: 1.357
 Граев, Марк Иосифович: 1.356
 Васильев, Станислав Николаевич: 1.356
 Исаханлы, Гамлет Абдулла оглы: 1.353
 Гершгорин, Семён Аронович: 1.349
 Мильман, Давид Пинхусович: 1.346
 Сомов, Осип Иванович: 1.346
 Гольц, Ольга Владимировна: 1.343
 Жуковский, Николай Егорович: 1.34
 Аршеневский, Василий Кондратьевич: 1.339
 Бахвалов, Сергей Владимирович: 1.339
 Веселовский, Иван Николаевич: 1.339
 Ершов, Александр Степанович: 1.339
 Попов, Александр Фёдорович (математик): 1.339
 Франк, Михаил Людвигович: 1.339
 Либер, Александр Евгеньевич: 1.339
 Алексеев, Николай Николаевич (математик): 1.33
 Майер, Фридрих Христофор: 1.33
 Бюшгенс, Сергей Сергеевич: 1.328
 Михайленко, Борис Григорьевич: 1.328
 Молчанов, Альберт Макарьевич: 1.328
 Тюрин, Юрий Николаевич: 1.328
 Карпелевич, Фридрих Израилевич: 1.328
 Лизоркин, Пётр Иванович: 1.328
 Гулин, Алексей Владимирович: 1.328
 Адамян, Вадим Мовсесович: 1.317
 Абаканович, Бруно: 1.311
 Бронштейн, Идел Ушерович: 1.31
 Пановко, Яков Гилелевич: 1.309
 Данилюк, Иван Ильич: 1.309
 Жаринов, Виктор Викторович: 1.309
 Кузнецов, Николай Васильевич (математик): 1.309
 Субботин, Юрий Николаевич: 1.309
 Федорчук, Виталий Витальевич: 1.309
 Тайцлин, Михаил Абрамович: 1.309
 Каледин, Дмитрий: 1.309
 Камынин, Леонид Иванович: 1.309
 Лифанов, Иван Кузьмич: 1.309
 Широков, Пётр Алексеевич: 1.309
 Тишкин, Владимир Федорович: 1.309
 Самойленко, Юрий Стефанович: 1.309
 Фридман, Лев Моисеевич: 1.309
