 Марджанишвили, Константин Константинович: 25.05
 Поляков, Николай Викторович: 25.05
 Сретенский, Леонид Николаевич: 25.05
 Веденяпин, Виктор Валентинович: 24.77
 Константинов, Николай Николаевич: 24.77
 Атанасян, Левон Сергеевич: 24.77
 Волович, Игорь Васильевич: 24.77
 Топоногов, Виктор Андреевич: 24.7
 Хеннер, Евгений Карлович: 24.68
 Кадец, Михаил Иосифович: 24.63
 Чехлов, Валерий Иванович: 24.58
 Рышков, Сергей Сергеевич: 24.47
 Халфин, Леонид Александрович: 24.36
 Голузин, Геннадий Михайлович: 24.35
 Aleksidze, Merab: 24.3
 Магницкий, Леонтий Филиппович: 24.28
 Слешинский, Иван Владиславович: 24.28
 Лавров, Святослав Сергеевич: 24.27
 Соболев, Владимир Иванович: 24.21
 Серебряков, Владимир Алексеевич: 24.21
 Деза, Мишель Мари: 24.16
 Милин, Исаак Моисеевич: 24.16
 Васильев, Фёдор Павлович: 24.13
 Таран, Татьяна Архиповна: 24.1
 Хачиян, Леонид Генрихович: 24.04
 Фейгин, Борис Львович: 23.99
 Немировский, Аркадий Семёнович: 23.97
 Шишмарёв, Илья Андреевич: 23.93
 Махнёв, Александр Алексеевич: 23.93
 Гершгорин, Семён Аронович: 23.88
 Порецкий, Платон Сергеевич: 23.86
 Соболь, Илья Меерович: 23.86
 Ульянов, Пётр Лаврентьевич: 23.86
 Рачинский, Сергей Александрович: 23.79
 Бакиров, Наиль Кутлужанович: 23.79
 Ашихмин, Валерий Николаевич: 23.74
 Савич, Сергей Евгеньевич: 23.74
 Крыштановский, Александр Олегович: 23.63
 Шноль, Эммануил Эльевич: 23.63
 Мисюркеев, Иван Васильевич: 23.63
 Цыганков, Иван Власович: 23.63
 Арефьева, Ирина Ярославна: 23.63
 Трофимов, Пётр Иванович: 23.63
 Пономарёв, Лев: 23.61
 Герасимов, Вадим: 23.61
 Рашевский, Пётр Константинович: 23.57
 Кондратьев, Владимир Александрович: 23.53
 Кошляков, Николай Сергеевич: 23.52
 Кордемский, Борис Анастасьевич: 23.49
 Андросенко, Пётр Александрович: 23.37
 Сохоцкий, Юлиан Васильевич: 23.34
 Нестеренко, Юрий Валентинович: 23.32
 Малинин, Александр Фёдорович: 23.32
 Юдин, Давид Борисович: 23.27
 Бейлинсон, Александр Александрович: 23.25
 Емельянов, Станислав Васильевич: 23.25
 Яненко, Николай Николаевич: 23.22
 Протасов, Владимир Юрьевич: 23.15
 Бураго, Юрий Дмитриевич: 23.11
 Дикштейн, Самуэль: 23.02
 Розенфельд, Борис Абрамович: 23.02
 Хорол, Давид Моисеевич: 22.99
 Мильман, Давид Пинхусович: 22.97
 Пименов, Револьт Иванович: 22.95
 Шень, Александр: 22.95
 Шоргин, Сергей Яковлевич: 22.91
 Стратонович, Руслан Леонтьевич: 22.76
 Хазанкин, Роман Григорьевич: 22.74
 Мищенко, Александр Сергеевич: 22.73
 Эрдниев, Пюрвя Мучкаевич: 22.69
 Геронимус, Яков Лазаревич: 22.65
 Фоминых, Юрий Федорович: 22.63
 Ашраф: 22.43
 Бабич, Василий Михайлович: 22.43
 Архангельский, Александр Владимирович: 22.32
 Долгопят, Дмитрий Ильич: 22.32
 Субботин, Михаил Фёдорович: 22.3
 Кары-Ниязов, Ташмухамед Ниязович: 22.29
 Бесов, Олег Владимирович: 22.27
 Левитан, Борис Моисеевич: 22.27
 Гивенталь, Александр Борисович: 22.23
 Абаканович, Бруно: 22.2
 Сосинский, Алексей Брониславович: 22.18
 Зигель, Феликс Юрьевич: 22.18
 Ентов, Владимир Маркович: 22.18
 Забродин, Алексей Валериевич: 22.16
 Виноградов, Дмитрий Вячеславович: 21.94
 Позняк, Эдуард Генрихович: 21.9
 Ильин, Арлен Михайлович: 21.87
 Гончаров, Сергей Савостьянович: 21.87
 Спринджук, Владимир Геннадьевич: 21.81
 Маричев, Олег Игоревич: 21.81
 Араркцян, Бабкен Гургенович: 21.81
 Исковских, Василий Алексеевич: 21.81
 Шильников, Леонид Павлович: 21.81
 Борисов, Виктор Васильевич: 21.81
 Кудрявцев, Валерий Борисович: 21.81
 Михлин, Соломон Григорьевич: 21.76
 Летников, Алексей Васильевич: 21.76
 Линдеберг, Ярл Вальдемар: 21.66
 Марков, Александр Александрович: 21.59
 Васильев, Николай Александрович: 21.46
 Ильяшенко, Юлий: 21.46
 Поссе, Константин Александрович: 21.46
 Сазонов, Вячеслав Васильевич: 21.43
 Серганова, Вера Владимировна: 21.39
 Малкин, Иоэль Гильевич: 21.34
 Миронов, Павел Миронович: 21.34
 Белавкин, Вячеслав Павлович: 21.34
 Шпачинский, Эразм Корнелиевич: 21.34
 Шифрин, Борис Фридманович: 21.23
 Бартельс, Мартин Фёдорович: 21.08
 Эйлер, Иоганн Альбрехт: 21.04
 Налимов, Евгений Викторович: 21.04
 Хруслов, Евгений Яковлевич: 21.03
 Тыртышников, Евгений Евгеньевич: 21.01
 Кублановская, Вера Николаевна: 20.99
 Витт, Александр Адольфович: 20.97
 Герасименко, Пётр Васильевич: 20.97
 Бутягин, Алексей Сергеевич: 20.97
 Фролов, Николай Адрианович: 20.97
 Холодов, Александр Сергеевич: 20.97
 Френкель, Игорь: 20.94
 Попов, Георгий Николаевич: 20.76
 Краснощёков, Павел Сергеевич: 20.73
 Гоппа, Валерий Денисович: 20.55
 Шмульян, Витольд Львович: 20.52
 Буссе, Фёдор Иванович: 20.5
 Прасолов, Виктор Васильевич: 20.5
 Сабинин, Лев Васильевич: 20.5
 Фарварсон, Генри: 20.5
 Коллинс, Эдуард Давыдович: 20.5
 Vakhania, Niko: 20.5
 Павлов, Борис Сергеевич: 20.47
 Рыбников, Константин Алексеевич: 20.43
 Радыно, Яков Валентинович: 20.39
 Садовничий, Юрий Викторович: 20.39
 Садовничая, Инна Викторовна: 20.39
 Слудский, Фёдор Алексеевич: 20.33
 Гагаев, Борис Михайлович: 20.33
 Ворович, Иосиф: 20.31
 Елепов, Борис Степанович: 20.27
 Некрасов, Александр Иванович: 20.24
 Лейбензон, Леонид Самуилович: 20.22
 Каток, Анатолий Борисович: 20.2
 Базен, Пьер-Доминик: 20.2
 Вощинин, Александр Павлович: 20.17
 Максудов, Фарамаз Газанфар оглы: 20.17
 Петров, Алексей Зиновьевич: 20.13
 Волевич, Леонид Романович: 20.13
 Тростников, Виктор Николаевич: 20.13
 Калужнин, Лев Аркадьевич: 20.13
 Конторович, Пётр Григорьевич: 20.13
 Давидов, Август Юльевич: 20.12
 Абрамов, Сергей Михайлович: 20.11
 Герман, Якоб: 20.1
 Земляков, Александр Николаевич: 20.08
 Курганов, Николай Гаврилович: 20.08
 Драгалин, Альберт: 20.08
 Демидович, Борис Павлович: 20.03
 Богданов, Рифкат Ибрагимович: 20.03
 Кушниренко, Анатолий Георгиевич: 19.97
 Столяр, Абрам Аронович: 19.97
 Миков, Александр Иванович: 19.97
 Свирежев, Юрий Михайлович: 19.91
 Сигал, Израиль Хаимович: 19.91
 Шамолин, Максим Владимирович: 19.91
 Сегал, Бенцион Израилевич: 19.91
 Оселедец, Валерий Иустинович: 19.91
 Пинскер, Марк: 19.87
 Григорьев, Дмитрий Юрьевич: 19.84
 Эпинус, Франц Ульрих Теодор: 19.8
 Аракелов, Сурен Юрьевич: 19.8
 Бобров, Сергей Павлович: 19.78
 Линделёф, Лоренц: 19.78
 Зорич, Владимир Антонович: 19.75
 Малинецкий, Георгий Геннадьевич: 19.75
 Тужилин, Алексей Августинович: 19.75
 Беклемишев, Лев Дмитриевич: 19.71
 Бугров, Александр: 19.71
 Букреев, Борис Яковлевич: 19.68
 Гусаренко, Сергей Алексеевич: 19.66
 Джумадильдаев, Аскар Серкулович: 19.61
 Гольц, Ольга Владимировна: 19.59
 Леонтьев, Алексей Фёдорович: 19.59
 Сулицкий, Владимир Николаевич: 19.54
 Челкак, Дмитрий Сергеевич: 19.5
 Логунов, Александр Андреевич: 19.47
 Сатаров, Георгий Александрович: 19.41
 Тосунян, Гарегин Ашотович: 19.41
 Степанов, Вячеслав: 19.33
 Голод, Евгений Соломонович: 19.31
 Габович, Евгений Яковлевич: 19.29
 Бурков, Владимир Дмитриевич: 19.29
 Карацуба, Екатерина Анатольевна: 19.29
 Шаповалов, Александр Васильевич: 19.29
 Фомин, Сергей Владимирович: 19.28
 Крафт, Георг Вольфганг: 18.94
 Сонин, Николай Яковлевич: 18.94
 Делоне, Николай Борисович: 18.94
 Сендеров, Валерий Анатольевич: 18.94
