Архипов, Геннадий Иванович: 1.398
Комраков, Борис Петрович: 1.393
Выгодский, Марк Яковлевич: 1.389
Глейзер, Григорий Давыдович: 1.389
Извольский, Николай Александрович: 1.389
Новиков, Дмитрий Александрович: 1.389
Соловьёв, Александр Дмитриевич: 1.389
Бобков, Сергей Германович: 1.389
Акилов, Глеб Павлович: 1.389
Шишмарев, Юрий Евгеньевич: 1.389
Галушкин, Александр Иванович: 1.389
Амербаев, Вильжан Мавлютинович: 1.388
Верещагин, Иван Фёдорович: 1.388
Шварцбурд, Семён Исаакович: 1.38
Щепкин, Павел Степанович: 1.38
Пархоменко, Алексей Серапионович: 1.38
Дужин, Сергей Васильевич: 1.38
Шура-Бура, Михаил Романович: 1.378
Рапопорт, Анатолий Борисович: 1.373
Брудно, Александр Львович: 1.369
Житомирская, Светлана Яковлевна: 1.363
Герман, Якоб: 1.362
Петров, Алексей Зиновьевич: 1.354
Букреев, Борис Яковлевич: 1.352
Пинскер, Марк: 1.342
Некрасов, Александр Иванович: 1.342
Пионтковский, Андрей: 1.336
Хованов, Михаил: 1.328
Мелентьев, Павел Владимирович: 1.319
Гюнтер, Николай Максимович: 1.314
Гольц, Ольга Владимировна: 1.313
Жуковский, Николай Егорович: 1.31
Дымников, Валентин: 1.309
Рышков, Сергей Сергеевич: 1.308
Таран, Татьяна Архиповна: 1.308
Шпильрейн, Ян Николаевич: 1.306
Вагнер, Виктор Владимирович: 1.304
Ружанский, Михаил: 1.298
Кольман, Эрнест Яромирович: 1.297
Граев, Марк Иосифович: 1.296
Фет, Абрам Ильич: 1.295
Крыштановский, Александр Олегович: 1.289
Шноль, Эммануил Эльевич: 1.289
Мисюркеев, Иван Васильевич: 1.289
Цыганков, Иван Власович: 1.289
Арефьева, Ирина Ярославна: 1.289
Трофимов, Пётр Иванович: 1.289
Мильман, Давид Пинхусович: 1.285
Сохоцкий, Юлиан Васильевич: 1.285
Абросимов, Александр Викторович: 1.276
Муртазин, Хайрулла Хабибуллович: 1.276
Исаханлы, Гамлет Абдулла оглы: 1.273
Андреев, Константин Алексеевич: 1.266
Васильев, Станислав Николаевич: 1.266
Христианович, Сергей: 1.26
Гершгорин, Семён Аронович: 1.259
Адамян, Вадим Мовсесович: 1.257
Сомов, Осип Иванович: 1.256
Бронштейн, Идел Ушерович: 1.25
Гиндикин, Семён Григорьевич: 1.248
Кузьмин, Родион Осиевич: 1.241
Фесенко, Иван: 1.238
Баскаков, Анатолий Григорьевич: 1.238
Бюшгенс, Сергей Сергеевич: 1.238
Михайленко, Борис Григорьевич: 1.238
Молчанов, Альберт Макарьевич: 1.238
Пятосин, Иосиф Степанович: 1.238
Тюрин, Юрий Николаевич: 1.238
Четаев, Николай Гурьевич: 1.238
Карпелевич, Фридрих Израилевич: 1.238
Дьяченко, Вадим Евгеньевич: 1.238
Лизоркин, Пётр Иванович: 1.238
Гулин, Алексей Владимирович: 1.238
Лаврентьев, Михаил Михайлович: 1.237
Смелянский, Руслан Леонидович: 1.229
Говорун, Николай Николаевич: 1.228
Козлов, Владимир Яковлевич: 1.228
Королюк, Владимир Семёнович: 1.228
Морозов, Никита Фёдорович: 1.228
Севастьянов, Борис Александрович: 1.228
Ульянов, Владимир Васильевич: 1.228
Чубариков, Владимир Николаевич: 1.228
Ядренко, Михаил Иосифович: 1.228
Большев, Логин Николаевич: 1.228
Абаканович, Бруно: 1.221
Пановко, Яков Гилелевич: 1.219
Аршеневский, Василий Кондратьевич: 1.219
Бахвалов, Сергей Владимирович: 1.219
Веселовский, Иван Николаевич: 1.219
Данилюк, Иван Ильич: 1.219
Ершов, Александр Степанович: 1.219
Жаринов, Виктор Викторович: 1.219
Кузнецов, Николай Васильевич (математик): 1.219
Попов, Александр Фёдорович (математик): 1.219
Субботин, Юрий Николаевич: 1.219
Федорчук, Виталий Витальевич: 1.219
Франк, Михаил Людвигович: 1.219
Тайцлин, Михаил Абрамович: 1.219
Каледин, Дмитрий: 1.219
Камынин, Леонид Иванович: 1.219
Либер, Александр Евгеньевич: 1.219
Лифанов, Иван Кузьмич: 1.219
Широков, Пётр Алексеевич: 1.219
Тишкин, Владимир Федорович: 1.219
Самойленко, Юрий Стефанович: 1.219
Фридман, Лев Моисеевич: 1.219
Дмитриев, Николай Александрович: 1.218
Коробейников, Виктор Павлович: 1.218
Статулявичус, Витаутас Антанович: 1.218
Рабинович, Матвей Самсонович: 1.218
Денисов, Эдисон Васильевич: 1.217
Джекобсон, Натан: 1.211
Стратонович, Руслан Леонтьевич: 1.211
Алексеев, Николай Николаевич (математик): 1.21
Анисимов, Василий Афанасьевич: 1.21
Майер, Фридрих Христофор: 1.21
Фомин, Владимир Николаевич: 1.21
Пикус, Давид Львович: 1.21
Салихов, Владислав Хасанович: 1.21
Коновалов, Анатолий Николаевич: 1.209
Романов, Владимир: 1.209
Чарный, Исаак Абрамович: 1.209
Денисов, Александр Михайлович: 1.209
Попов, Александр Михайлович: 1.209
Ченцов, Александр: 1.209
Есенин-Вольпин, Александр Сергеевич: 1.203
Шатуновский, Самуил Осипович: 1.203
Кублановская, Вера Николаевна: 1.202
Глускин, Лазарь Матвеевич: 1.199
Товстик, Петр Евгеньевич: 1.199
Попов, Юрий Петрович: 1.199
Тыугу, Энн Харальдович: 1.198
Слонимский, Зиновий Яковлевич: 1.195
Брашман, Николай Дмитриевич: 1.184
Млодзиевский, Болеслав Корнелиевич: 1.184
Пенская, Марианна Яновна: 1.176
Залгаллер, Виктор Абрамович: 1.174
Бородин, Алексей Михайлович: 1.174
Иосифовна, Тышкевич Регина: 1.166
Вишик, Марко Иосифович: 1.165
Аристов, Владимир Владимирович: 1.165
Джрбашян, Мхитар: 1.165
Голод, Евгений Соломонович: 1.164
Петросян, Гарегин Бахшиевич: 1.157
Мильман, Виталий Давидович: 1.156
Кузнецов, Александр Геннадьевич: 1.156
Вольберг, Александр Львович: 1.155
Петров, Александр Александрович: 1.155
Назаров, Фёдор Львович: 1.155
Хлебников, Михаил Владимирович: 1.15
Соколов, Владимир Вячеславович: 1.147
Крылов, Андрей Серджевич: 1.147
Владимирович, Скороход Анатолий: 1.146
Налимов, Василий Васильевич: 1.146
Гвишиани, Алексей Джерменович: 1.146
Трахтман, Абрам Наумович: 1.145
Сусова, Галина Михайловна: 1.14
Брайцев, Иван Романович: 1.138
Мирзоев, Карахан Агахан оглы: 1.138
Стрекаловский, Александр Сергеевич: 1.138
Джалал: 1.138
Нелепин, Рональд: 1.138
Каляев, Игорь Анатольевич: 1.137
Наймарк, Марк Аронович: 1.136
Жданок, Татьяна Аркадьевна: 1.132
Эпинус, Франц Ульрих Теодор: 1.128
Горский, Владимир Григорьевич: 1.128
Яновская, Елена Борисовна: 1.128
