Франке, Ян: 0.0
Корзюк, Виктор Иванович: 0.319
Reiziņš, Linards: 0.319
Абрамов, Александр Михайлович: 0.319
Ионин, Владимир Кузьмич: 0.319
Шкиль, Николай Иванович: 0.319
Стрельцов, Владимир Викторович: 0.319
Арнольд, Виталий Дмитриевич: 0.319
Четверухин, Николай Фёдорович: 0.319
Гущин, Валентин Анатольевич: 0.319
Пахлов, Павел Николаевич: 0.319
Фомичёв, Василий Владимирович: 0.319
Волков, Евгений Алексеевич: 0.319
Боголюбов, Николай Михайлович: 0.319
Филер, Залмен Ефимович: 0.319
Аргучинцев, Александр Валерьевич: 0.319
Каган, Абрам Меерович: 0.319
Саранцев, Геннадий Иванович: 0.319
Демьянов, Владимир Фёдорович: 0.319
Шабозов, Мирганд Шабозович: 0.319
Фёдоров, Вячеслав Васильевич: 0.319
Лебедев, Николай Николаевич (математик): 0.319
Сушко, Валерий Григорьевич: 0.319
Пинус, Александр Георгиевич: 0.319
Фабиан, Оскар: 0.328
Никитин, Николай Никифорович: 0.328
Руссман, Исаак Борисович: 0.328
Джунь, Иосиф Владимирович: 0.328
Штейнбука, Инна: 0.328
Кангро, Гуннар Фромхольдович: 0.328
Grīnbergs, Emanuels: 0.328
Феликсович, Бокштейн Меер: 0.328
Стародуб, Юрий Петрович: 0.328
Лебедев, Николай Андреевич: 0.328
Гороховик, Валентин Викентиевич: 0.328
Абрашин, Вячеслав Николаевич: 0.328
Габасов, Рафаил Фёдорович: 0.328
Ибрагимов, Вагиф: 0.328
Акушский, Израиль Яковлевич: 0.328
Эршлер, Анна Геннадьевна: 0.337
Вейсфейлер, Борис: 0.338
Офман, Юрий Петрович: 0.338
Крамков, Дмитрий Олегович: 0.338
Степанов, Сергей Александрович: 0.338
Зудилин, Вадим Валентинович: 0.338
Беклемишев, Дмитрий Владимирович: 0.338
Вайнштейн, Борис Самойлович: 0.338
Зельманов, Абрам Леонидович: 0.338
Имшенецкий, Василий Григорьевич: 0.338
Кондурарь, Владимир Трифонович: 0.338
Солтан, Пётр Семёнович: 0.338
Станевич, Виктор: 0.338
Шестаков, Виктор: 0.338
Новиков, Александр Александрович: 0.338
Агранович, Михаил Семёнович: 0.338
Шубин, Михаил Александрович: 0.338
Закалюкин, Владимир Михайлович: 0.338
Постников, Алексей Георгиевич: 0.338
Итс, Александр Рудольфович: 0.338
Липкин, Липман Израилевич: 0.338
Попов, Владимир Леонидович: 0.338
Эскин, Григорий Ильич: 0.338
Циммерман: 0.338
Симоненко, Игорь Борисович: 0.338
Борисов, Денис Иванович: 0.338
Шокуров, Вячеслав Владимирович: 0.348
Бейтлер, Вильгельм Готлиб Фридрих: 0.348
Кушнер, Борис Абрамович: 0.348
Гастев, Юрий Алексеевич: 0.348
Хусайнов, Абдурахман: 0.35
Субботовская, Белла Абрамовна: 0.357
Левин, Виктор Иосифович: 0.357
Васильев, Александр Васильевич: 0.357
Иванов, Валентин Тимофеевич: 0.357
Коробов, Николай Михайлович: 0.357
Матизен, Виктор Эдуардович: 0.357
Размадзе, Андрей Михайлович: 0.357
Эфендиев, Мамед Рашид оглы: 0.357
Александров, Владимир Валентинович: 0.357
Жмурко, Лаврентий: 0.357
Маркеев, Анатолий Павлович: 0.357
Берлова, Наталья Геннадьевна: 0.357
Минц, Григорий Ефроимович: 0.357
Кужугет, Али: 0.359
Каринский, Михаил Иванович: 0.366
Батырев, Виктор Вадимович: 0.366
Буслаев, Владимир Савельевич: 0.366
Векуа, Николай Петрович: 0.366
Рейссиг, Корнелий Христианович: 0.369
Адо, Игорь: 0.376
Подолинский, Сергей Андреевич: 0.376
Фёдоров, Владимир Семёнович: 0.376
Штокман, Владимир Борисович: 0.376
Петросян, Ашот Везирович: 0.376
Морозкин, Николай Данилович: 0.376
Налимов, Евгений Викторович: 0.386
Цубербиллер, Ольга Николаевна: 0.395
Сокольников, Иван: 0.397
Дегаев, Сергей Петрович: 0.397
Почобут-Одляницкий, Мартин: 0.404
Коркин, Александр Николаевич: 0.414
Уфимцев, Пётр Яковлевич: 0.414
Родес, Ида: 0.414
Капранов, Михаил Михайлович: 0.416
Суслин, Михаил Яковлевич: 0.424
Трахтенберг, Яков: 0.433
Красносельский, Марк Александрович: 0.433
